wav_path,speaker_id,gender,age,region,duration,transcript,transcript_cleaned,prediction
노인남여_노인대화07_F_1522434093_60_경상_실내_08580.wav,1522434093,F,60,경상,4.52,밥 한끼를 제대로 된 밥 한끼를 먹을 수 있다고 생각하면서,밥 한끼를 제대로 된 밥 한끼를 먹을 수 있다고 생각하면서,밥 한 끼를 제대로 된 밥 한 끼를 먹을 수 있다고 생각하면서
노인남여_노인대화07_F_1522434093_60_경상_실내_08581.wav,1522434093,F,60,경상,3.67,감사하게 감사하게 생각하면서 ,감사하게 감사하게 생각하면서,감사하게 감사하게 생각하면서
노인남여_노인대화07_F_1522434093_60_경상_실내_08582.wav,1522434093,F,60,경상,3.58,노후를 같이 보내야 되지 않을까 싶네요,노후를 같이 보내야 되지 않을까 싶네요,노을을 같이 보내야 되지 않을까 싶네요
노인남여_노인대화07_F_1522434093_60_경상_실내_08583.wav,1522434093,F,60,경상,4.52,제가 가장 좋아하는 연예인은 별에서 온 그대에 전지현이고,제가 가장 좋아하는 연예인은 별에서 온 그대에 전지현이고,제가 가장 좋아하는 연예인은 베레소온 그대의 전지현이고
노인남여_노인대화07_F_1522434093_60_경상_실내_08584.wav,1522434093,F,60,경상,3.41,잔디씨가 좋아하는 연예인은 누구에요 ,잔디씨가 좋아하는 연예인은 누구에요,잔디씨가 좋아하는 연예인은 누구예요
노인남여_노인대화07_F_1522434093_60_경상_실내_08585.wav,1522434093,F,60,경상,4.18,가장 좋아하는 프로그램은 저 같은 경우는 아는 형님이나,가장 좋아하는 프로그램은 저 같은 경우는 아는 형님이나,가장 좋아하는 프로그램은 저 같은 경우는 아는 형님이나
노인남여_노인대화07_F_1522434093_60_경상_실내_08586.wav,1522434093,F,60,경상,3.75,해피투게더 같은 (SP:에능)예능 프로그램을 좋아하는데 ,해피투게더 같은 에능 예능 프로그램을 좋아하는데,해피 투게들 같은 애능 프로그램을 좋아하는데
노인남여_노인대화07_F_1522434093_60_경상_실내_08587.wav,1522434093,F,60,경상,4.09,어떤 프로그램을 좋아하나요 유튜브를 좋아하나요,어떤 프로그램을 좋아하나요 유튜브를 좋아하나요,어떤 프로그램을 좋아하나요 유튜브를 좋아하나요
노인남여_노인대화07_F_1522434093_60_경상_실내_08589.wav,1522434093,F,60,경상,4.09,어떤 장르를 좋아해요 뮤직비디오 같은 경우요,어떤 장르를 좋아해요 뮤직비디오 같은 경우요,어떤 장르를 좋아해요 뮤직 비디오 같은 경우요
노인남여_노인대화07_F_1522434093_60_경상_실내_08590.wav,1522434093,F,60,경상,4.61,유튜브에서 볼 때는 그럼 혹시 티비 프로그램은요,유튜브에서 볼 때는 그럼 혹시 티비 프로그램은요,유튜브에서 볼 때는 그럼 혹시 티비 프로그램은요
노인남여_노인대화07_F_1522434093_60_경상_실내_08591.wav,1522434093,F,60,경상,4.01,예능 프로그램 중에서 좋아하는 프로는 혹시 있나요,예능 프로그램 중에서 좋아하는 프로는 혹시 있나요,예능 프로그램 중에서 좋아하는 프로는 혹시 있나요
노인남여_노인대화07_F_1522434093_60_경상_실내_08592.wav,1522434093,F,60,경상,4.95,넷플릭스를 좋아하는군요 저도 넷플릭스를 가끔가다 보긴 해요,넷플릭스를 좋아하는군요 저도 넷플릭스를 가끔가다 보긴 해요,넷플릭스를 좋아하는군요 저도 넷플릭스를 가끔가다 보긴 해요
